Size,Instance ID,Status,Gap,Computing_time,Obj,Cmax,Delay
m,11,optimal,0.0,47.65599346160889,859.0,357.0,502.0
m,12,optimal,0.0,12241.21654009819,1564.0,462.0,1102.0
m,13,optimal,0.0,3.904282331466675,878.0,384.0,494.0
m,14,optimal,0.0,184.57472229003903,1112.0,392.0,720.0
m,15,optimal,0.0,48.937819957733154,1188.0,345.0,843.0
m,16,optimal,0.0,2.853031635284424,903.0,302.0,601.0
m,17,optimal,0.0,11.442050695419312,533.0,299.0,234.0
m,18,feasible,0.2532374100701206,86403.08667898178,1742.0,485.0,1257.0
m,19,optimal,0.0,1331.344038248062,1222.0,415.0,807.0
m,20,feasible,0.2396187882897235,86405.72500777245,1821.0,512.0,1309.0
m,21,optimal,0.0,24287.68381094933,1276.0,446.0,830.0
m,22,optimal,0.0,29.67395091056824,1437.0,498.0,939.0
m,23,optimal,0.0,80.16252183914185,875.0,380.0,495.0
m,24,optimal,0.0,1205.3111221790314,1643.0,510.0,1133.0
m,25,optimal,0.0,105.96957492828368,789.0,300.0,489.0
m,26,optimal,0.0,24.28082060813904,853.0,319.0,534.0
m,27,optimal,0.0,84.87328362464905,1560.0,465.0,1095.0
m,28,optimal,0.0,22511.513023853306,1204.0,418.0,786.0
m,29,optimal,0.0,15.6136736869812,1323.0,445.0,878.0
m,30,optimal,0.0,20.142629861831665,889.0,361.0,528.0
m,31,optimal,0.0,2.7228620052337646,1124.0,395.0,729.0
m,32,optimal,0.0,1995.6335229873655,1304.0,448.0,856.0
m,33,optimal,0.0,142.7001919746399,1141.0,375.0,766.0
m,34,optimal,0.0,167.18313336372375,1330.0,448.0,882.0
m,35,optimal,0.0,460.596373796463,1453.0,444.0,1009.0
m,36,optimal,0.0,38736.47899842262,1572.0,514.0,1058.0
m,37,optimal,0.0,10.21049451828003,725.0,296.0,429.0
m,38,optimal,0.0,13128.62275648117,1560.0,502.0,1058.0
m,39,optimal,0.0,193.10072469711304,1590.0,494.0,1096.0
m,40,optimal,0.0,838.7060205936432,1553.0,472.0,1081.0
m,41,optimal,0.0,402.6363625526428,1909.0,553.0,1356.0
m,42,optimal,0.0,12262.991878271105,1675.0,504.0,1171.0
m,43,optimal,0.0,2379.509948015213,1268.0,415.0,853.0
m,44,optimal,0.0,32.098289489746094,1730.0,554.0,1176.0
m,45,feasible,0.344407530450228,86403.6414308548,1214.0,451.0,763.0
m,46,optimal,0.0,59.65064525604248,1415.0,473.0,942.0
m,47,optimal,0.0,23.833564043045044,807.0,313.0,494.0
m,48,optimal,0.0,641.0379297733307,1520.0,472.0,1048.0
m,49,optimal,0.0,9472.893946886064,1524.0,433.0,1091.0
m,50,optimal,0.0,3401.3387649059296,2456.0,641.0,1815.0
l,0,,,,,,
l,1,feasible,0.8888888888836632,86428.56084918976,3213.0,711.0,2502.0
l,2,feasible,0.6206206206175144,86416.62011098862,3238.0,706.0,2532.0
l,3,feasible,0.7392055267671019,86426.00104475021,4028.0,761.0,3267.0
l,4,feasible,0.6040695209809069,86425.86465406418,3784.0,777.0,3007.0
l,5,feasible,1.2271111111056574,86456.61419916153,5011.0,856.0,4155.0
l,6,feasible,0.5918735891621134,86421.53237915039,3526.0,740.0,2786.0
l,7,feasible,0.940511307763321,86418.82846665382,3947.0,810.0,3137.0
l,8,feasible,1.2717316906141567,86423.68169045448,3319.0,714.0,2605.0
l,9,feasible,0.9560321715766432,86423.8311715126,3648.0,735.0,2913.0
l,10,feasible,0.8375470683117938,86417.0814845562,3416.0,683.0,2733.0
l,11,feasible,0.9018087855238902,86420.07372307777,2944.0,661.0,2283.0
l,12,feasible,0.7363249262995862,86429.81565189362,5301.0,919.0,4382.0
l,13,feasible,0.8005879470808399,86411.53992962837,3675.0,772.0,2903.0
l,14,feasible,0.9252733900308308,86411.5212404728,3169.0,668.0,2501.0
l,15,feasible,1.0513413505964324,86429.84708857536,4435.0,804.0,3631.0
l,16,feasible,1.083289124662688,86424.99518489838,3927.0,726.0,3201.0
l,17,feasible,0.7802902463692869,86436.29518413544,5275.0,890.0,4385.0
l,18,feasible,0.4268440145094179,86450.65419006348,7080.0,1099.0,5981.0
l,19,feasible,0.9757860498699829,86435.64133358002,5467.0,948.0,4519.0
l,20,feasible,0.8045202220428053,86430.09491229057,4551.0,776.0,3775.0
l,21,feasible,1.0255195041887513,86453.88475060463,5556.0,928.0,4628.0
l,22,feasible,1.6960721184694394,86418.11648058891,4187.0,854.0,3333.0
l,23,feasible,1.687113111977,86455.87032938004,4775.0,803.0,3972.0
l,24,feasible,0.8186813186756959,86415.69463706017,2648.0,624.0,2024.0
l,25,feasible,1.1842456608759049,86456.18118357658,4908.0,838.0,4070.0
l,26,feasible,0.9281337047302054,86420.2311308384,3461.0,740.0,2721.0
l,27,feasible,1.3776260504129327,86439.77488875389,4527.0,891.0,3636.0
l,28,feasible,1.300624999991871,86420.88338255882,3681.0,711.0,2970.0
l,29,feasible,1.1034802784171531,86449.22505760193,4533.0,788.0,3745.0
l,30,feasible,2.021511627895224,86461.34834003448,5197.0,915.0,4282.0
l,31,feasible,0.4196911196894993,86424.1072075367,3677.0,751.0,2926.0
l,32,feasible,0.9791213571075288,86461.20689892769,4550.0,899.0,3651.0
l,33,feasible,1.0802971347680217,86475.25445199013,5881.0,969.0,4912.0
l,34,feasible,0.8575824175786481,86426.110653162,4226.0,834.0,3392.0
l,35,feasible,0.8831818181778037,86426.90267539024,4143.0,778.0,3365.0
l,36,feasible,1.3861158921320362,86433.64214468002,4159.0,798.0,3361.0
l,37,feasible,0.5174174174158637,86434.62333989143,5053.0,944.0,4109.0
l,38,feasible,1.047039059214418,86442.68428874016,4874.0,864.0,4010.0
l,39,feasible,0.9666825321229572,86442.9724047184,4132.0,839.0,3293.0
l,40,feasible,1.5018850141305284,86422.6810798645,5309.0,857.0,4452.0
l,41,feasible,1.8819018404763657,86430.7867295742,3758.0,726.0,3032.0
l,42,feasible,1.3522537562491466,86423.74073648453,2818.0,642.0,2176.0
l,43,feasible,1.171856045284384,86456.55973029137,5371.0,911.0,4460.0
l,44,feasible,0.9925604463670642,86422.00258278847,3214.0,699.0,2515.0
l,45,feasible,0.9546517064003992,86415.72147679329,4181.0,883.0,3298.0
l,46,feasible,0.9265473527183948,86437.54180049896,5167.0,955.0,4212.0
l,47,feasible,1.477231329681377,86428.10440254211,4080.0,795.0,3285.0
l,48,feasible,1.6118251927916978,86426.85104203224,4064.0,793.0,3271.0
l,49,feasible,1.1094391244794155,86414.67365956306,3084.0,619.0,2465.0
l,50,feasible,0.9711211777974456,86424.71370196342,3481.0,702.0,2779.0
xl,0,,,,,,
xl,1,feasible,21.53444444420517,87472.81909370422,20281.0,1789.0,18492.0
xl,2,feasible,2.6840148698794053,86662.09810376167,10901.0,1256.0,9645.0
xl,3,feasible,33.4038199176889,87378.1235795021,25218.0,1771.0,23447.0
xl,4,feasible,3.130906460937486,86764.08867049217,17135.0,1522.0,15613.0
xl,5,feasible,1.6079566679088384,86745.8426527977,13963.0,1399.0,12564.0
xl,6,feasible,1.1049271713710618,87210.58398461342,23411.0,1824.0,21587.0
xl,7,feasible,2.6167448574474617,87225.4317290783,20044.0,1652.0,18392.0
xl,8,feasible,1.1292623412368583,87759.78480529785,34032.0,2226.0,31806.0
xl,9,feasible,1.4199999999972692,86634.16290044785,12584.0,1377.0,11207.0
xl,10,feasible,1.910348859867647,86595.85969352722,14933.0,1443.0,13490.0
xl,11,feasible,1.1931481278124594,86710.04478001595,19973.0,1692.0,18281.0
xl,12,feasible,2.1285971222973727,86599.11298918724,13916.0,1443.0,12473.0
xl,13,feasible,1.172862453530145,86849.81032919884,17535.0,1587.0,15948.0
xl,14,feasible,1.7192442882230674,87373.04111289978,24756.0,1872.0,22884.0
xl,15,feasible,26.477428180212343,87196.68115830421,20086.0,1717.0,18369.0
xl,16,feasible,3.916741271253544,87361.10730838776,21968.0,1784.0,20184.0
xl,17,feasible,23.026897213995905,87826.82028126717,25012.0,1939.0,23073.0
xl,18,feasible,1.394933679065129,86778.69139480591,24014.0,1778.0,22236.0
xl,19,feasible,55.61940298403695,87245.3841021061,30348.0,1937.0,28411.0
xl,20,feasible,1.6576932730913292,88596.54654145241,42353.0,2394.0,39959.0
xl,21,feasible,3.355164548707469,87182.97391605377,26732.0,1822.0,24910.0
xl,22,feasible,1.5672335739611316,87231.76580357552,20982.0,1730.0,19252.0
xl,23,feasible,2.0181695827698274,87299.5838804245,22425.0,1752.0,20673.0
xl,24,feasible,1.2855379782325975,87080.66132974625,20371.0,1709.0,18662.0
xl,25,feasible,2.258222676195591,86827.73820662498,15949.0,1580.0,14369.0
xl,26,feasible,1.3546940546776296,86826.40301156044,16278.0,1533.0,14745.0
xl,27,feasible,1.835656880429989,86954.82921934128,17289.0,1496.0,15793.0
xl,28,feasible,44.61549100906479,88537.0420370102,32980.0,2087.0,30893.0
xl,29,feasible,2.054179566561348,87713.62125968933,29595.0,2105.0,27490.0
xl,30,feasible,0.8076633165818999,86574.28872704506,14389.0,1472.0,12917.0
xl,31,feasible,45.40842490759325,87135.45667052269,25339.0,1853.0,23486.0
xl,32,feasible,1.3943344600009748,86729.46897935867,14876.0,1461.0,13415.0
xl,33,feasible,1.4535333650115718,88160.7842142582,36143.0,2285.0,33858.0
xl,34,feasible,29.71812080503671,87574.59204769135,27462.0,1900.0,25562.0
xl,35,feasible,42.79856850671985,88331.73384523392,42835.0,2406.0,40429.0
xl,36,feasible,51.57397504364396,87352.0627155304,29494.0,2059.0,27435.0
xl,37,feasible,18.91262135899378,87013.92879533768,16408.0,1683.0,14725.0
xl,38,feasible,1.8047887323918244,86999.62438392639,19914.0,1671.0,18243.0
xl,39,feasible,0.9747736593662656,86944.16776704788,25520.0,1987.0,23533.0
xl,40,feasible,31.45274102049667,88026.59053516388,34335.0,2338.0,31997.0
xl,41,feasible,1.659582542691348,86632.77992773056,14016.0,1343.0,12673.0
xl,42,feasible,38.99248120242117,86993.23224687576,26595.0,1823.0,24772.0
xl,43,feasible,2.12713004483828,86736.67573571205,13947.0,1475.0,12472.0
xl,44,feasible,1.194774346791457,86747.03234481812,13860.0,1365.0,12495.0
xl,45,feasible,24.235758106711344,87807.63298869133,28794.0,2024.0,26770.0
xl,46,feasible,0.9791901012365584,87194.81840229034,24633.0,1854.0,22779.0
xl,47,feasible,1.7261249595310355,86708.64116287231,16842.0,1502.0,15340.0
xl,48,feasible,46.93766937605776,88636.02486896515,35378.0,2185.0,33193.0
xl,49,feasible,35.27156549483204,88124.97373723984,34059.0,2065.0,31994.0
xl,50,feasible,2.068874670677326,86806.140147686,16308.0,1506.0,14802.0
