Size,Instance ID,Computing_time,Obj,Cmax,Delay
m,6,0.1235308647155761,1244.0,442.0,802.0
m,7,0.1745929718017578,1879.0,507.0,1372.0
m,8,0.2712728977203369,2016.0,574.0,1442.0
m,9,0.1380002498626709,1006.0,418.0,588.0
m,10,0.2298941612243652,1237.0,448.0,789.0
m,11,0.1071441173553466,930.0,360.0,570.0
m,12,0.1408638954162597,1625.0,476.0,1149.0
m,13,0.1038119792938232,978.0,399.0,579.0
m,14,0.1191029548645019,1267.0,427.0,840.0
m,15,0.0946409702301025,1247.0,349.0,898.0
m,16,0.0746362209320068,1003.0,332.0,671.0
m,17,0.1956160068511963,615.0,316.0,299.0
m,18,0.166623830795288,1836.0,518.0,1318.0
m,19,0.1340067386627197,1316.0,432.0,884.0
m,20,0.1703920364379882,1920.0,516.0,1404.0
m,21,0.1334519386291504,1429.0,474.0,955.0
m,22,0.1235189437866211,1804.0,543.0,1261.0
m,23,0.1111750602722168,924.0,381.0,543.0
m,24,0.1708958148956298,1768.0,538.0,1230.0
m,25,0.1064770221710205,866.0,326.0,540.0
m,26,0.1033217906951904,918.0,335.0,583.0
m,27,0.1127679347991943,1621.0,488.0,1133.0
m,28,0.1230781078338623,1359.0,457.0,902.0
m,29,0.1206049919128418,1392.0,438.0,954.0
m,30,0.1078712940216064,967.0,383.0,584.0
m,31,0.0969960689544677,1227.0,398.0,829.0
m,32,0.1257920265197754,1384.0,457.0,927.0
m,33,0.1396989822387695,1243.0,397.0,846.0
m,34,0.1330511569976806,1401.0,491.0,910.0
m,35,0.1435048580169677,1525.0,504.0,1021.0
m,36,0.1662080287933349,1727.0,513.0,1214.0
m,37,0.0938348770141601,766.0,329.0,437.0
m,38,0.129396915435791,1761.0,527.0,1234.0
m,39,0.1411089897155761,1706.0,536.0,1170.0
m,40,0.1299281120300293,1588.0,476.0,1112.0
m,41,0.1464319229125976,2082.0,579.0,1503.0
m,42,0.161679983139038,1953.0,564.0,1389.0
m,43,0.1441221237182617,1570.0,446.0,1124.0
m,44,0.1298348903656005,1752.0,554.0,1198.0
m,45,0.1739161014556884,1291.0,455.0,836.0
m,46,0.1166918277740478,1567.0,495.0,1072.0
m,47,0.1098051071166992,954.0,352.0,602.0
m,48,0.1579940319061279,1687.0,490.0,1197.0
m,49,0.1558427810668945,1573.0,458.0,1115.0
m,50,0.1665349006652832,2630.0,699.0,1931.0
l,1,0.4068641662597656,3645.0,722.0,2923.0
l,2,0.2340421676635742,3496.0,721.0,2775.0
l,3,0.3739259243011474,4202.0,765.0,3437.0
l,4,0.2844541072845459,4448.0,850.0,3598.0
l,5,0.3530802726745605,5432.0,887.0,4545.0
l,6,0.2561309337615967,3861.0,770.0,3091.0
l,7,0.4061009883880615,4067.0,853.0,3214.0
l,8,0.4139320850372314,3667.0,767.0,2900.0
l,9,0.2771439552307129,3962.0,777.0,3185.0
l,10,0.2408971786499023,3619.0,715.0,2904.0
