Size,Instance ID,Computing_time,Obj,Cmax,Delay
l,29,6.3871049880981445,4646.0,828.0,3818.0
l,30,6.115102052688599,5356.0,960.0,4396.0
l,31,5.322049856185913,3970.0,741.0,3229.0
l,32,7.531184196472168,4799.0,910.0,3889.0
l,33,8.154254674911499,6135.0,1043.0,5092.0
l,34,4.507313251495361,4431.0,879.0,3552.0
l,35,5.047094106674194,4350.0,804.0,3546.0
l,36,5.00621485710144,4392.0,858.0,3534.0
l,37,6.681391954421997,5148.0,946.0,4202.0
l,38,6.520040035247803,5094.0,921.0,4173.0
l,39,6.846880674362183,4386.0,852.0,3534.0
l,40,5.7531492710113525,5395.0,893.0,4502.0
l,41,4.791372060775757,3911.0,751.0,3160.0
l,42,4.792337894439697,3018.0,658.0,2360.0
l,43,7.040709972381592,5585.0,901.0,4684.0
l,44,4.653411865234375,3322.0,701.0,2621.0
l,45,3.0048599243164062,4270.0,887.0,3383.0
l,46,6.416833877563477,5407.0,985.0,4422.0
l,47,5.782258987426758,4279.0,786.0,3493.0
l,48,4.940044164657593,4253.0,816.0,3437.0
l,49,3.8257200717926025,3215.0,638.0,2577.0
l,50,4.921274900436401,3682.0,720.0,2962.0
xl,1,37.63182473182678,18451.0,1859.0,16592.0
xl,2,18.621370792388916,11022.0,1314.0,9708.0
xl,3,37.18592596054077,22413.0,1819.0,20594.0
xl,4,20.77499008178711,14328.0,1564.0,12764.0
xl,5,17.5048828125,12150.0,1410.0,10740.0
xl,6,32.609694957733154,20923.0,1867.0,19056.0
xl,7,28.100528955459595,18935.0,1720.0,17215.0
xl,8,40.06263589859009,30428.0,2300.0,28128.0
xl,9,15.34694790840149,11064.0,1384.0,9680.0
xl,10,20.267751932144165,13013.0,1454.0,11559.0
xl,11,25.472975969314575,17469.0,1774.0,15695.0
xl,12,18.034444093704224,13844.0,1474.0,12370.0
xl,13,22.43342900276184,16035.0,1611.0,14424.0
xl,14,33.96295619010925,20866.0,1916.0,18950.0
xl,15,30.664555072784424,19395.0,1743.0,17652.0
xl,16,36.29513692855835,21658.0,1912.0,19746.0
xl,17,45.67261600494385,23140.0,2028.0,21112.0
xl,18,28.92503070831299,20693.0,1919.0,18774.0
xl,19,47.48080801963806,26168.0,2064.0,24104.0
xl,20,58.84909534454346,33662.0,2392.0,31270.0
xl,21,32.015973806381226,21218.0,1954.0,19264.0
xl,22,37.411612033843994,18688.0,1669.0,17019.0
xl,23,33.8627872467041,19985.0,1855.0,18130.0
xl,24,31.334990978240967,19251.0,1762.0,17489.0
xl,25,20.775713682174683,15819.0,1652.0,14167.0
xl,26,23.13481593132019,14260.0,1505.0,12755.0
xl,27,27.375457048416138,16793.0,1588.0,15205.0
xl,28,54.34723091125488,31746.0,2168.0,29578.0
xl,29,41.37161421775818,27584.0,2130.0,25454.0
xl,30,20.01632285118103,14242.0,1501.0,12741.0
xl,31,41.58525800704956,23106.0,1902.0,21204.0
xl,32,19.484530925750732,13536.0,1456.0,12080.0
xl,33,58.18072032928467,30113.0,2395.0,27718.0
xl,34,42.67558407783508,23951.0,2000.0,21951.0
xl,35,54.43149280548096,35357.0,2368.0,32989.0
xl,36,47.96432113647461,27368.0,2125.0,25243.0
xl,37,27.183469772338867,16484.0,1728.0,14756.0
xl,38,27.203546047210693,17977.0,1682.0,16295.0
xl,39,40.881717920303345,22383.0,1925.0,20458.0
xl,40,51.92104125022888,30582.0,2395.0,28187.0
xl,41,17.537492990493774,12661.0,1365.0,11296.0
xl,42,37.28516697883606,23852.0,1938.0,21914.0
xl,43,21.653842210769653,12820.0,1469.0,11351.0
xl,44,20.92943572998047,12847.0,1421.0,11426.0
xl,45,43.66225028038025,25876.0,2105.0,23771.0
xl,46,33.732218980789185,22375.0,1883.0,20492.0
xl,47,29.93006205558777,15321.0,1561.0,13760.0
xl,48,58.7859160900116,31854.0,2300.0,29554.0
xl,49,47.634377002716064,28720.0,2138.0,26582.0
xl,50,21.13821578025818,15444.0,1569.0,13875.0
